home 	you know what gets me 
and how were things 	lets talk about something else 
otherwise how are things 	i sure didnt expect her to drop dead 
could have happened to anybody 	first nagasaki now this 
could have happened to anybody  _eou_ first nagasaki now this 	how about breakfast wife 
i dunno boy 	the educational process 
i dunno boy  _eou_ the educational process 	i guess youre lucky you dont have any old people around here 
i dunno boy  _eou_ the educational process  _eou_ i guess youre lucky you dont have any old people around here 	she was about to get married again she locked me out of the bedroom last night 
whats funny about that 	you know me boy 
i told you the uniform wouldnt help 	it helped more than you know down deep people were deeply affected 
i told you the uniform wouldnt help  _eou_ it helped more than you know down deep people were deeply affected 	you keep on saying deep and deeply __name__ wish something good would happen on the surface sometime 
so kid how they hanging or dont you say that to __name__ little kid 	hes __name__ man tell him youre __name__ man 
hi penelope 	shut up you ninny you were never to come here again for any reason whatsoever 
are we really going to find out where the elephants go to die 	id rather go to viet nam 
are we really going to find out where the elephants go to die  _eou_ id rather go to viet nam 	would somebody please pass me the catsup 
are we really going to find out where the elephants go to die  _eou_ id rather go to viet nam  _eou_ would somebody please pass me the catsup 	what you say is pass the fucking catsup 
are we really going to find out where the elephants go to die  _eou_ id rather go to viet nam  _eou_ would somebody please pass me the catsup  _eou_ what you say is pass the fucking catsup 	pass the fucking catsup 
insurance 	you actually sold insurance 
what an awful sound 	get used to it back door paul 
its possible of course that youll die in africa 	ive considered that 
its possible of course that youll die in africa  _eou_ ive considered that 	selling vacuum cleaners isnt the best preparation you could have 
its possible of course that youll die in africa  _eou_ ive considered that  _eou_ selling vacuum cleaners isnt the best preparation you could have 	i just want one true adventure before __name__ die 
its possible of course that youll die in africa  _eou_ ive considered that  _eou_ selling vacuum cleaners isnt the best preparation you could have  _eou_ i just want one true adventure before __name__ die 	that can be arranged 
fifty years 	youre making __name__ joke 
fifty years  _eou_ youre making __name__ joke 	im interested in long term expectations 
fifty years  _eou_ youre making __name__ joke  _eou_ im interested in long term expectations 	its engineered to last about fifteen years 
fifty years  _eou_ youre making __name__ joke  _eou_ im interested in long term expectations  _eou_ its engineered to last about fifteen years 	things oh you silly people and your things things things things 
if __name__ were married to him __name__ sure wouldnt walk out 	never mind the condition of your body and your spirit look after your things your things 
yes wife it is come here boy your father is home 	sir 
dads got jungle fever mom whatll __name__ do mom 	damn 
dads got jungle fever mom whatll __name__ do mom  _eou_ damn 	mom 
play 	your mother and __name__ do not wish to be disturbed for three full hours 
a hundred dollars 	the smallest thing ive got 
a hundred dollars  _eou_ the smallest thing ive got 	can __name__ get dressed first 
a hundred dollars  _eou_ the smallest thing ive got  _eou_ can __name__ get dressed first 	make it fast 
dad 	couldnt you have vanished quietly out the back door 
dad  _eou_ couldnt you have vanished quietly out the back door 	a hundred dollars for breakfast 
dad  _eou_ couldnt you have vanished quietly out the back door  _eou_ a hundred dollars for breakfast 	leave __name__ tip 
what kind of exercise 	beat the shit out of someone who hates you 
dad 	who was it 
dad  _eou_ who was it 	its mom 
mom 	whats this 
 hamburger heaven 	heaven 
how do you do 	how do you do mrs ryan id heard you were beautiful and so you are am __name__ intruding here 
how do you do  _eou_ how do you do mrs ryan id heard you were beautiful and so you are am __name__ intruding here 	not at all 
how do you do  _eou_ how do you do mrs ryan id heard you were beautiful and so you are am __name__ intruding here  _eou_ not at all 	i couldnt help overhearing that you were about to get married again 
bluh 	youd better get dr woodly 
im so glad you like each other __name__ was so scared so scared 	have some 
awful __name__ cant tell you how sorry __name__ am 	say hello to your mother 
awful __name__ cant tell you how sorry __name__ am  _eou_ say hello to your mother 	do say hello to your mother 
he hasnt had breakfast yet 	buy yourself breakfast there we go 
i have some change 	ram it up your ass 
chow chow chow god damn it nutriment 	were all going to have to go out for breakfast the cook quit yesterday 
chow chow chow god damn it nutriment  _eou_ were all going to have to go out for breakfast the cook quit yesterday 	youre __name__ woman arent you 
things 	you feel ive done __name__ dreadful thing leaving him 
well what have we here __name__ family 	almost __name__ christmas scene 
well what have we here __name__ family  _eou_ almost __name__ christmas scene 	goodbye goodbye goodbye 
well what have we here __name__ family  _eou_ almost __name__ christmas scene  _eou_ goodbye goodbye goodbye 	just one favor 
well what have we here __name__ family  _eou_ almost __name__ christmas scene  _eou_ goodbye goodbye goodbye  _eou_ just one favor 	money theres plenty of that mildred got the brewery youll probably get the baseball team 
well what have we here __name__ family  _eou_ almost __name__ christmas scene  _eou_ goodbye goodbye goodbye  _eou_ just one favor  _eou_ money theres plenty of that mildred got the brewery youll probably get the baseball team 	i want you to tell me that you loved me once 
testimonials of that sort are are beyond my range __name__ dont do them well thats __name__ failing __name__ know 	i see 
and my son the only son of harold ryan hes going to grow up to be __name__ vanisher too 	i dont know __name__ hope he never hunts __name__ hope he never kills another human being 
and my son the only son of harold ryan hes going to grow up to be __name__ vanisher too  _eou_ i dont know __name__ hope he never hunts __name__ hope he never kills another human being 	you hope this too 
im going to call the police 	dont 
this is suicide go get the police 	stop 
help your mother find the bullet 	there it is give it to me 
how do __name__ load 	load it for her 
shes right norbert go home woodly __name__ havent said all __name__ have to say 	out 
give me that goddamn thing now get out of here or __name__ might kill you who knows 	youve killed women 
give me that goddamn thing now get out of here or __name__ might kill you who knows  _eou_ youve killed women 	seventeen of them eleven by accident march move you too 
ooops 	ooops 
ooops  _eou_ ooops 	can __name__ uh help you gentlemen 
ooops  _eou_ ooops  _eou_ can __name__ uh help you gentlemen 	gentlemen thats nice 
ooops  _eou_ ooops  _eou_ can __name__ uh help you gentlemen  _eou_ gentlemen thats nice 	you startled me 
