mummy has __name__ special technique called deep therapy 	whats that 
mummy has __name__ special technique called deep therapy  _eou_ whats that 	im not sure but its proving to be very popular 
i adore anything to do with the arts 	were pretty handy with model making too eh 
ive never cottoned on to plasticine like you girls but __name__ enjoy making things out of wood 	are you __name__ carpenter mr rieper herbert shakes his head 
ive never cottoned on to plasticine like you girls but __name__ enjoy making things out of wood  _eou_ are you __name__ carpenter mr rieper herbert shakes his head 	i work at dennis brothers fish supply 
lets have em now while theyre fresh eh nora 	playfully shoves his hand away 
lets have em now while theyre fresh eh nora  _eou_ playfully shoves his hand away 	ill think youll find our mr bayliss is not keen on seafood ive got lamb chops in the frigerator 
lets have em now while theyre fresh eh nora  _eou_ playfully shoves his hand away  _eou_ ill think youll find our mr bayliss is not keen on seafood ive got lamb chops in the frigerator 	sighs as honora puts the frying pan on the stove 
come on sausage rolls 	come on through 
come on sausage rolls  _eou_ come on through 	and pauline hurriedly work together setting out plates and cutlery 
come on sausage rolls  _eou_ come on through  _eou_ and pauline hurriedly work together setting out plates and cutlery 	look who ive found 
come on sausage rolls  _eou_ come on through  _eou_ and pauline hurriedly work together setting out plates and cutlery  _eou_ look who ive found 	whips off her pinny as herbert leads juliet into the dining room 
ive booked you in for __name__ chest __name__ ray just to be on the safe side 	pops __name__ couple more potatoes on paulines plate herbert glances at pauline 
ive booked you in for __name__ chest __name__ ray just to be on the safe side  _eou_ pops __name__ couple more potatoes on paulines plate herbert glances at pauline 	thought id have __name__ go at building the birdhouse on saturday anyone want to give me __name__ hand 
yvonne hasnt been herself either locking herself away in her room endlessly writing 	sits down next to honora glass of sherry in hand 
is chopping firewood in the back garden honora approaches him 	ive just had hilda hulme on the phone 
is chopping firewood in the back garden honora approaches him  _eou_ ive just had hilda hulme on the phone 	what now 
is chopping firewood in the back garden honora approaches him  _eou_ ive just had hilda hulme on the phone  _eou_ what now 	she says juliets in __name__ terrible state 
accompanies hilda into the hallway 	breaks down into heavy sobs 
id better be getting back bye love 	pulls his coat on honora gives him __name__ peck cheek 
id better be getting back bye love  _eou_ pulls his coat on honora gives him __name__ peck cheek 	bye 
id better be getting back bye love  _eou_ pulls his coat on honora gives him __name__ peck cheek  _eou_ bye 	have __name__ nice outing you lot 
wanders out honora turns to pauline and juliet 	well __name__ better make myself __name__ bit more presentable 
hello 	well tell us howd it go 
 got an __name__ mum 	glows with pride steve is emptying his pockets on the bench honora pats steves hand 
hes the manager 	leads __name__ young man john into the dining room 
 im bloody dressing as fast as __name__ can for gods sake 	open this door 
the hulmes will look after me they want me to live with them 	dont be so ridiculous youre our daughter you belong here with us 
the hulmes will look after me they want me to live with them  _eou_ dont be so ridiculous youre our daughter you belong here with us 	i belong with deborah were going to south africa 
the hulmes will look after me they want me to live with them  _eou_ dont be so ridiculous youre our daughter you belong here with us  _eou_ i belong with deborah were going to south africa 	youre not going anywhere youre 15 years old 
the hulmes will look after me they want me to live with them  _eou_ dont be so ridiculous youre our daughter you belong here with us  _eou_ i belong with deborah were going to south africa  _eou_ youre not going anywhere youre 15 years old 	you have to let me go 
the hulmes will look after me they want me to live with them  _eou_ dont be so ridiculous youre our daughter you belong here with us  _eou_ i belong with deborah were going to south africa  _eou_ youre not going anywhere youre 15 years old  _eou_ you have to let me go 	stands and walks toward the door 
you have it 	oh no im watching my figure 
look mother 	looks down at the ground in front of her 
i wouldnt want my private business being discussed with __name__ complete stranger 	oh no mummys awfully good at it 
thats coming along well 	im the matrons favourite patient and shes shown me her special stitch 
hello 	hello juliet juliet take off her jacket 
hello  _eou_ hello juliet juliet take off her jacket 	oh what __name__ nice outfit 
hello  _eou_ hello juliet juliet take off her jacket  _eou_ oh what __name__ nice outfit 	thank you __name__ bought it especially mrs rieper 
is bending down pulling __name__ tray of sausage rolls into the oven both girls look at honora silently 	turns around and juliet presents her with __name__ brown paper bag 
is bending down pulling __name__ tray of sausage rolls into the oven both girls look at honora silently  _eou_ turns around and juliet presents her with __name__ brown paper bag 	fruit 
is bending down pulling __name__ tray of sausage rolls into the oven both girls look at honora silently  _eou_ turns around and juliet presents her with __name__ brown paper bag  _eou_ fruit 	oh ill pop them in __name__ bowl 
but youre not fat mrs rieper 	i put on __name__ lot of weight over christmas 
mummy 	mummy 
shes terribly hurt 	somebodys got to help us 
0h god im so sorry 	it doesnt matter 
0h god im so sorry  _eou_ it doesnt matter 	of course it matters its mario 
i think im dying 	dont please please dont 
i wish james would do __name__ religious picture hed be perfect as jesus 	daddy says the bibles __name__ load of bunkum 
but were all going to heaven 	im not im going to the fourth world its like heaven only better because there arent any christians 
james will be there and mario only theyll be saints 	saint mario 
to be known as he 	he 
him 	him 
this 	this 
that 	that 
he flings open the door and launches himself at the bed ravishing her 	god yes 
what 	its so beautiful 
what  _eou_ its so beautiful 	what 
i shall call him diello 	youre such an incredible woman 
i shall call him diello  _eou_ youre such an incredible woman 	i couldnt have done it without you charles 
youll never guess whats happened 	what 
youll never guess whats happened  _eou_ what 	john has fallen in love with me 
