dream on 	no oh god 
go on jake she reads em like __name__ book 	no thanks 
go on jake she reads em like __name__ book  _eou_ no thanks 	its fun 
dr singer its been __name__ long time 	hello sam 
dr singer its been __name__ long time  _eou_ hello sam 	are you all right 
dr singer its been __name__ long time  _eou_ hello sam  _eou_ are you all right 	im okay 
dr singer its been __name__ long time  _eou_ hello sam  _eou_ are you all right  _eou_ im okay 	do you want some help __name__ can call upstairs 
dr singer its been __name__ long time  _eou_ hello sam  _eou_ are you all right  _eou_ im okay  _eou_ do you want some help __name__ can call upstairs 	no dont but thanks 
by who why paul didnt have an enemy in the world 	how do you know 
by who why paul didnt have an enemy in the world  _eou_ how do you know 	hey youre talkin about paul whod want to hurt him 
grass never did that to me 	you know ive been to three shrinks and __name__ hypnotist nothing penetrates that night nothing 
too late ive tried __name__ think youre right jake im game 	me too 
you know you got __name__ strange line here 	its short huh 
you know you got __name__ strange line here  _eou_ its short huh 	short its ended 
you know you got __name__ strange line here  _eou_ its short huh  _eou_ short its ended 	oh terrific 
you know you got __name__ strange line here  _eou_ its short huh  _eou_ short its ended  _eou_ oh terrific 	its not funny according to this youre already dead 
you know you got __name__ strange line here  _eou_ its short huh  _eou_ short its ended  _eou_ oh terrific  _eou_ its not funny according to this youre already dead 	just my luck 
what did he talk about when you guys went out did he say anything 	he was upset he thought people were following him 
hello 	frank its jake jacob singer 
doctor ph __name__ 	ah __name__ thought you were __name__ mailman 
doctor ph __name__  _eou_ ah __name__ thought you were __name__ mailman 	i am 
doctor ph __name__  _eou_ ah __name__ thought you were __name__ mailman  _eou_ i am 	then why arent you teaching why arent you in __name__ university 
doctor ph __name__  _eou_ ah __name__ thought you were __name__ mailman  _eou_ i am  _eou_ then why arent you teaching why arent you in __name__ university 	im too messed up to teach 
doctor ph __name__  _eou_ ah __name__ thought you were __name__ mailman  _eou_ i am  _eou_ then why arent you teaching why arent you in __name__ university  _eou_ im too messed up to teach 	ah well then theyre going to have to pay for that arent they 
bullshit someones covering somethin that was no accident 	why do you say that 
bullshit someones covering somethin that was no accident  _eou_ why do you say that 	cars dont explode that way any simpleton knows that 
bullshit someones covering somethin that was no accident  _eou_ why do you say that  _eou_ cars dont explode that way any simpleton knows that 	but the paper 
