uh yeah she should be coming by 	uh well whatd she say is pony coming 
uh yeah she should be coming by  _eou_ uh well whatd she say is pony coming 	i dont know 
we are 	alright she told him to meet us here fuck 
mn hm 	 burger manifesto part one is gonna make people think 
um hm 	wait racism you dont know anybody whos black 
that was really great 	was it okay 
that was really great  _eou_ was it okay 	yeah 
that was really great  _eou_ was it okay  _eou_ yeah 	what did you guys think 
that was really great  _eou_ was it okay  _eou_ yeah  _eou_ what did you guys think 	slides go with it 
that was really great  _eou_ was it okay  _eou_ yeah  _eou_ what did you guys think  _eou_ slides go with it 	behind me im making these slides out of these old pictures and paintings and stuff 
its called burger manifesto part one the dialectical expression of testosterone isnt that __name__ great title 	why is everything about you jeff 
uh huh 	i stand for something and im trying to communicate something 
responsibility progress 	yes 
typical male 	typical male 
typical male  _eou_ typical male 	typical male 
typical male  _eou_ typical male  _eou_ typical male 	tim he listens to you do you think its __name__ good idea seriously 
want __name__ beer is pony coming 	no thanks __name__ dont drink um well whatd she say __name__ mean did she talk to him 
yeah we all want to see him so whens he coming 	yeah whens he coming 
guy should cut down on his caffeine intake 	needs some pizza in his diet 
ponys coming here to the corner 	yeah no it wasnt even my idea 
i dont know later __name__ dont know 	yes 
dont let em fight 	the dude wants it 
a long long long long while 	okay okay 
a long long long long while  _eou_ okay okay 	a long long long 
a long long long long while  _eou_ okay okay  _eou_ a long long long 	okay 
so do you guys want to do something go someplace or something like that 	so were all old friends of ponys we go way back to our childhood 
go 	 idiot open the damn door go go go come on 
you know what we should do go to the 	so you can do an album cover 
fuck it 	you know what go with him just go with him 
fuck it  _eou_ you know what go with him just go with him 	in the limo 
hey hey are you trying to get __name__ hold of sooze 	no 
ah you know people there 	im just gonna go __name__ figure the worst __name__ can do is starve to death 
fuck her come on lets go 	jeff lets go 
hey im sooze 	yeah right publicist 
yeah 	come on 
yeah  _eou_ come on 	play it come on 
sure you make art and you want people to see it 	wait what happened to the tree 
hey come on man limo 	hey wait wheres bee bee bee bee bee bee whered you go did you guys see where she went 
really 	you know __name__ should um make __name__ video of this place you know bring the camera in 
come on man 	hey dont tell us about private property this is america my friend 
hey on behalf of burnfield __name__ present to you the keys to the city 	so how was the ride kids 
hey on behalf of burnfield __name__ present to you the keys to the city  _eou_ so how was the ride kids 	great 
hey on behalf of burnfield __name__ present to you the keys to the city  _eou_ so how was the ride kids  _eou_ great 	really 
they are old we are young they are fast we are fun 	buff please would you jus fuck off okay fuck off 
hey man 	hey 
yeah hes told me burnfield we all hear about burnfield 	mm you know does he tell you about how uh jeff pony started the band 
yeah hes told me burnfield we all hear about burnfield  _eou_ mm you know does he tell you about how uh jeff pony started the band 	oh you were in the band 
yeah hes told me burnfield we all hear about burnfield  _eou_ mm you know does he tell you about how uh jeff pony started the band  _eou_ oh you were in the band 	yeah 
your his publicist 	sure __name__ am its fun 
your his publicist  _eou_ sure __name__ am its fun 	mm and your like what else 
what do you mean his girlfriend 	well thats one way of putting it 
what do you mean his girlfriend  _eou_ well thats one way of putting it 	am __name__ fucking him 
what do you mean his girlfriend  _eou_ well thats one way of putting it  _eou_ am __name__ fucking him 	shit 
what do you mean his girlfriend  _eou_ well thats one way of putting it  _eou_ am __name__ fucking him  _eou_ shit 	pony what would you say our relationship is 
so then youre like available 	in what way 
so then youre like available  _eou_ in what way 	mm in __name__ horizontal and wet way 
buff 	buff is funny god 
yes free concert 	alright pony 
hey hey 	im so burnt out 
hey hey  _eou_ im so burnt out 	oh how did you get burnt out 
hey hey  _eou_ im so burnt out  _eou_ oh how did you get burnt out 	playing with something really hot yeah 
hey hey  _eou_ im so burnt out  _eou_ oh how did you get burnt out  _eou_ playing with something really hot yeah 	yeah 
score yeah 	hey hey seven twenty seven twenty 
he paid you man 	you owe me twenty cents come on seven twenty seven twenty 
he paid you man  _eou_ you owe me twenty cents come on seven twenty seven twenty 	yo your spitting rice all over us god 
hey were just having __name__ conversation 	this is private property my friend 
look look look you gotta go now okay the customers complain 	were your customers were not complaining 
look look look you gotta go now okay the customers complain  _eou_ were your customers were not complaining 	please 
its safe come on 	thats it thats it im calling the police 
you stand someplace else man you stand someplace else this is our corner you dont fucking own it 	yes __name__ do my family owns it its ours you dont belong here 
you stand someplace else man you stand someplace else this is our corner you dont fucking own it  _eou_ yes __name__ do my family owns it its ours you dont belong here 	no you dont belong here we were here before you 
yeah well uh youre not so smart chief cause im moving out to __name__ a 	ah thats nice they have many convenience stores there for you to stand in front of 
hey yes hey pony man great concert tonight 	oh you were there 
hey yes hey pony man great concert tonight  _eou_ oh you were there 	no but __name__ heard it was great 
hey yes hey pony man great concert tonight  _eou_ oh you were there  _eou_ no but __name__ heard it was great 	oh thanks thanks 
so tell us man party time trashin hotel rooms babes around the clock 	naw naw we dont have time for all that 
so tell us man party time trashin hotel rooms babes around the clock  _eou_ naw naw we dont have time for all that 	oh so what about her 
yeah were all above that 	see __name__ wrote something about all this uh it its __name__ song about 
yeah were all above that  _eou_ see __name__ wrote something about all this uh it its __name__ song about 	well play it man 
no no no no no its new 	please 
no no no no no its new  _eou_ please 	i just started it 
i dont care im gonna drop it im gonna drop it im 	dont drop the guitar man 
whoa 	no no whoa 
hey im glad you put truth in your song man thats important 	hey thanks man 
come on man sh sh sh 	no man hes probably the most famous guy thatd ever come in this place youre lucky hes here 
thanks see man 	you know __name__ remember coming here with my parents 
you okay man you okay 	i didnt want to eat this much man 
you okay man you okay  _eou_ i didnt want to eat this much man 	wait ill get you some air 
hey play that demo again man alright 	oh man wow __name__ was never into football you know 
thanks man 	ill be in the car okay 
whats up guys 	uh you know just admiring the scenery you know 
you were __name__ shitty lineman and now your __name__ shitty cop yeah blow me im drunk 	okay come on time to slow down 
you were __name__ shitty lineman and now your __name__ shitty cop yeah blow me im drunk  _eou_ okay come on time to slow down 	whos going to slow me down you you fat pig 
you were __name__ shitty lineman and now your __name__ shitty cop yeah blow me im drunk  _eou_ okay come on time to slow down  _eou_ whos going to slow me down you you fat pig 	alright get in the car before __name__ have to embarrass you in front of your friend 
