yes we do know each other im alison jones 	alison jones 
ally jones 	how is mrs stephens 
ally jones  _eou_ how is mrs stephens 	were not together 
ally jones  _eou_ how is mrs stephens  _eou_ were not together 	id heard that but shes well 
ally jones  _eou_ how is mrs stephens  _eou_ were not together  _eou_ id heard that but shes well 	yes fine 
ally jones  _eou_ how is mrs stephens  _eou_ were not together  _eou_ id heard that but shes well  _eou_ yes fine 	and zoe hows zoe 
what does it turn to 	it turns to steaming piss 
im so sorry 	thats okay 
my name is 	mister __name__ dont want to know your name 
my name is  _eou_ mister __name__ dont want to know your name 	i understand 
my name is  _eou_ mister __name__ dont want to know your name  _eou_ i understand 	no you dont 
i can help you 	not unless you can raise the dead 
hi nicole 	hi mr ansel hi jessica mason 
hi nicole  _eou_ hi mr ansel hi jessica mason 	they just finished supper 
hi nicole  _eou_ hi mr ansel hi jessica mason  _eou_ they just finished supper 	was it good 
ill be back around nine 	okay 
what do you mean outgrown it 	im not sure 
what do you mean outgrown it  _eou_ im not sure 	oh right 
goodnight mr ansel 	goodnight nicole 
why would he do that you didnt have anything to do with the accident 	because __name__ was driving behind the bus mary because __name__ saw it __name__ saw it happen 
how is nicole is she around 	shes resting in her room 
how is nicole is she around  _eou_ shes resting in her room 	say hello for me 
nicoles coming over to look after the kids tonight shell be there around six 	billy thats too early 
nicoles coming over to look after the kids tonight shell be there around six  _eou_ billy thats too early 	she said shes got to be home by nine 
nicoles coming over to look after the kids tonight shell be there around six  _eou_ billy thats too early  _eou_ she said shes got to be home by nine 	cant you make it later 
have you been waiting long 	a while 
have you been waiting long  _eou_ a while 	billy do you have to smoke wendell can smell if someones been smoking 
does this mean __name__ cant take __name__ shower 	no it should be dry by now 
what times he coming home 	when the games over __name__ guess 
youre leaving 	i better get back 
good night billy 	good night 
dolores no one calls me mrs driscoll 	what do you mean by that dolores 
dolores no one calls me mrs driscoll  _eou_ what do you mean by that dolores 	about the ottos 
dolores no one calls me mrs driscoll  _eou_ what do you mean by that dolores  _eou_ about the ottos 	yes what do you mean by hippies 
those are all from the fair last year abbott and me were judges at the pet show 	for rabbits 
those are all from the fair last year abbott and me were judges at the pet show  _eou_ for rabbits 	 
thats the way __name__ thought of them sometimes 	berries 
thats the way __name__ thought of them sometimes  _eou_ berries 	yes like __name__ was putting them into my big basket clearing the hillside of its children 
abbott and __name__ used to do __name__ lot of that in the spring 	berry picking 
abbott and __name__ used to do __name__ lot of that in the spring  _eou_ berry picking 	yes the old fashioned way 
abbott and __name__ used to do __name__ lot of that in the spring  _eou_ berry picking  _eou_ yes the old fashioned way 	and whats that 
abbott and __name__ used to do __name__ lot of that in the spring  _eou_ berry picking  _eou_ yes the old fashioned way  _eou_ and whats that 	with our hands 
i have __name__ question for you mr stephens 	whats that dolores 
its clear to me and other people that you have suffered significantly from this event 	what other people 
its clear to me and other people that you have suffered significantly from this event  _eou_ what other people 	excuse me 
its clear to me and other people that you have suffered significantly from this event  _eou_ what other people  _eou_ excuse me 	whos been talking to you about what im feeling who should care about what im feeling 
thats what he said is it 	yes abbot understands these things 
he never took his eyes off his mother even as he moved to sit beside nicole he looked frightened 	why would he be frightened 
he never took his eyes off his mother even as he moved to sit beside nicole he looked frightened  _eou_ why would he be frightened 	i dont know but it was weird in terms of what happened next sean was still watching his mother 
good morning wanda hi hartley 	hi dolores 
